timestep, id, lat, long, angle, speed, RSSI, throughput
0.00, 26, 37.971738, 23.758638, 38.291786, 0.000000, 60.573513317556895, 30.286756658778447
1.00, 26, 37.971745, 23.758645, 38.291786, 1.000000, 46.58110800174456, 23.29055400087228
2.00, 26, 37.971759, 23.758660, 38.291786, 2.000000, 29.2247301217291, 14.61236506086455
3.00, 26, 37.971780, 23.758682, 38.291786, 3.000000, 41.08618139480975, 20.543090697404875
4.00, 26, 37.971807, 23.758712, 39.779928, 4.000000, 35.27402659106755, 17.637013295533777
5.00, 26, 37.971833, 23.758758, 52.952756, 5.000000, 43.9676338732049, 21.98381693660245
6.00, 26, 37.971856, 23.758817, 62.749916, 5.893475, 69.27464317533229, 34.63732158766614
7.00, 26, 37.971867, 23.758882, 77.545323, 5.893475, 52.43756847249212, 26.218784236246055
8.00, 26, 37.971865, 23.758949, 91.801492, 5.893475, 65.92440305173777, 32.962201525868885
9.00, 26, 37.971855, 23.759015, 98.560890, 5.893475, 27.023967187342777, 13.51198359367139
10.00, 26, 37.971841, 23.759079, 105.427541, 5.893475, 79.69609225988243, 39.84804612994122
11.00, 26, 37.971824, 23.759143, 106.824175, 5.893475, 35.171219619687484, 17.585609809843742
12.00, 26, 37.971807, 23.759206, 106.824175, 5.893475, 55.43938612400608, 27.71969306200304
13.00, 26, 37.971790, 23.759270, 106.824175, 5.893475, 34.788200709169736, 17.394100354584868
14.00, 26, 37.971773, 23.759333, 106.824175, 5.893475, 67.70715110141181, 33.853575550705905
15.00, 26, 37.971756, 23.759397, 106.824175, 5.893475, 74.48222124189246, 37.24111062094623
16.00, 26, 37.971739, 23.759461, 106.953916, 5.893475, 64.7745420350661, 32.38727101753305
17.00, 26, 37.971722, 23.759524, 107.072269, 5.893475, 27.946234946548287, 13.973117473274144
18.00, 26, 37.971705, 23.759588, 106.914984, 5.893475, 74.79621336330995, 37.39810668165497
19.00, 26, 37.971689, 23.759652, 105.698069, 5.893475, 83.85805898142249, 41.929029490711244
20.00, 26, 37.971674, 23.759716, 105.698069, 5.893475, 88.13350113371115, 44.066750566855575
21.00, 26, 37.971658, 23.759780, 105.698069, 5.893475, 53.960211375085656, 26.980105687542828
22.00, 26, 37.971642, 23.759844, 105.698069, 5.893475, 34.608559107419374, 17.304279553709687
23.00, 26, 37.971624, 23.759907, 108.836598, 5.893475, 74.59992003559226, 37.29996001779613
24.00, 26, 37.971604, 23.759969, 109.674099, 5.893475, 59.72696714107381, 29.863483570536903
25.00, 26, 37.971585, 23.760031, 109.674099, 5.893475, 66.2459206588141, 33.12296032940705
26.00, 26, 37.971565, 23.760093, 111.125026, 5.893475, 53.966351276652375, 26.98317563832619
27.00, 26, 37.971543, 23.760154, 112.446075, 5.893475, 46.42818180753263, 23.214090903766316
28.00, 26, 37.971521, 23.760216, 112.446075, 5.893475, 34.82289925352992, 17.41144962676496
29.00, 26, 37.971499, 23.760277, 112.446075, 5.893475, 87.78782494459357, 43.89391247229678
30.00, 26, 37.971474, 23.760335, 117.866134, 5.893475, 49.83233342482743, 24.916166712413716
31.00, 26, 37.971447, 23.760394, 117.866134, 5.893475, 91.82118914527874, 45.91059457263937
32.00, 26, 37.971421, 23.760452, 117.866134, 5.893475, 34.00359250816797, 17.001796254083985
33.00, 26, 37.971395, 23.760510, 117.866134, 5.893475, 24.437190935256112, 12.218595467628056
34.00, 26, 37.971369, 23.760569, 117.866134, 5.893475, 59.3444469097562, 29.6722234548781
35.00, 26, 37.971343, 23.760627, 117.866134, 5.893475, 58.80699120282908, 29.40349560141454
36.00, 26, 37.971316, 23.760685, 117.883765, 5.893475, 63.42344322543721, 31.71172161271861
37.00, 26, 37.971290, 23.760744, 118.018841, 5.893475, 57.60427449373679, 28.80213724686839
38.00, 26, 37.971264, 23.760802, 118.018841, 5.893475, 49.362751828664926, 24.681375914332463
39.00, 26, 37.971237, 23.760860, 118.018841, 5.893475, 55.574547012010385, 27.787273506005196
40.00, 26, 37.971211, 23.760918, 118.018841, 5.893475, 96.5069342926405, 48.25346714632025
41.00, 26, 37.971184, 23.760976, 119.495421, 5.893475, 50.30614258700516, 25.15307129350258
42.00, 26, 37.971156, 23.761033, 119.495421, 5.893475, 84.42931765222087, 42.21465882611044
43.00, 26, 37.971129, 23.761090, 119.495421, 5.893475, 48.31418309096017, 24.157091545480085
44.00, 26, 37.971101, 23.761148, 119.495421, 5.893475, 55.195436184830825, 27.597718092415413
45.00, 26, 37.971074, 23.761205, 119.495421, 5.893475, 60.61509597940527, 30.307547989702634
46.00, 26, 37.971046, 23.761262, 119.495421, 5.893475, 88.11862940377131, 44.059314701885654
