timestep, id, lat, long, angle, speed, RSSI, throughput
0.00, 27, 37.968361, 23.774376, 152.898572, 0.000000, 50.527657499966786, 25.263828749983393
1.00, 27, 37.968353, 23.774381, 152.898572, 1.000000, 75.96188563265393, 37.980942816326966
2.00, 27, 37.968337, 23.774390, 152.898572, 2.000000, 62.613451324682735, 31.306725662341368
3.00, 27, 37.968312, 23.774405, 152.898572, 3.000000, 46.96289336488424, 23.48144668244212
4.00, 27, 37.968280, 23.774425, 152.898572, 4.000000, 31.47087522176843, 15.735437610884215
5.00, 27, 37.968239, 23.774449, 152.898572, 5.000000, 89.15055242134238, 44.57527621067119
6.00, 27, 37.968191, 23.774478, 152.898572, 5.893475, 51.40993814870518, 25.70496907435259
7.00, 27, 37.968143, 23.774506, 152.898572, 5.893475, 58.428256666906584, 29.214128333453292
8.00, 27, 37.968095, 23.774535, 152.898572, 5.893475, 67.04551058443202, 33.52275529221601
9.00, 27, 37.968047, 23.774564, 152.898572, 5.893475, 70.6807752982018, 35.3403876491009
10.00, 27, 37.967999, 23.774593, 152.898572, 5.893475, 58.80487055391845, 29.402435276959228
11.00, 27, 37.967951, 23.774621, 152.898572, 5.893475, 67.81771390663201, 33.908856953316004
12.00, 27, 37.967903, 23.774650, 152.898572, 5.893475, 40.68105496112271, 20.340527480561356
13.00, 27, 37.967855, 23.774674, 157.437308, 5.893475, 60.80242462736548, 30.40121231368274
14.00, 27, 37.967805, 23.774698, 157.756540, 5.893475, 66.5102160966202, 33.2551080483101
15.00, 27, 37.967754, 23.774717, 162.673917, 5.893475, 65.20125546984167, 32.600627734920835
16.00, 27, 37.967703, 23.774731, 166.088079, 5.893475, 80.26978017828327, 40.134890089141635
17.00, 27, 37.967650, 23.774734, 175.569612, 5.893475, 77.539227596367, 38.7696137981835
18.00, 27, 37.967602, 23.774732, 180.493255, 5.327884, 34.86975903266753, 17.434879516333766
19.00, 27, 37.967564, 23.774724, 187.879278, 4.327884, 88.39507585454763, 44.197537927273814
20.00, 27, 37.967534, 23.774718, 187.879278, 3.327884, 30.183569896992275, 15.091784948496137
21.00, 27, 37.967497, 23.774702, 196.116259, 4.327884, 66.78967081491432, 33.39483540745716
22.00, 27, 37.967455, 23.774673, 207.162404, 5.327884, 39.66782152458998, 19.83391076229499
23.00, 27, 37.967412, 23.774635, 212.624905, 5.893475, 57.2617475825702, 28.6308737912851
24.00, 27, 37.967371, 23.774592, 219.448424, 5.893475, 78.29025866295328, 39.14512933147664
25.00, 27, 37.967337, 23.774541, 228.504233, 5.893475, 54.02417301691307, 27.012086508456534
26.00, 27, 37.967307, 23.774485, 235.440826, 5.893475, 86.71125162540754, 43.35562581270377
27.00, 27, 37.967283, 23.774426, 241.625905, 5.893475, 68.91248379665225, 34.45624189832613
28.00, 27, 37.967264, 23.774363, 247.327997, 5.893475, 71.65478923041276, 35.82739461520638
29.00, 27, 37.967251, 23.774299, 255.101490, 5.893475, 88.40219313381174, 44.20109656690587
30.00, 27, 37.967240, 23.774233, 256.747542, 5.893475, 44.642372860835984, 22.321186430417992
31.00, 27, 37.967233, 23.774167, 260.777558, 5.893475, 74.05920848176714, 37.02960424088357
32.00, 27, 37.967226, 23.774100, 260.844296, 5.893475, 92.67791825846601, 46.338959129233004
33.00, 27, 37.967219, 23.774034, 260.844296, 5.893475, 54.18633944876105, 27.093169724380527
34.00, 27, 37.967212, 23.773967, 260.844296, 5.893475, 62.161692429916926, 31.080846214958463
35.00, 27, 37.967205, 23.773901, 260.844296, 5.893475, 78.14993082029457, 39.074965410147286
36.00, 27, 37.967198, 23.773834, 260.844296, 5.893475, 54.73771657611816, 27.368858288059077
37.00, 27, 37.967191, 23.773768, 260.844296, 5.893475, 77.24374387335541, 38.62187193667771
38.00, 27, 37.967185, 23.773701, 260.844296, 5.893475, 55.285791027660345, 27.642895513830172
39.00, 27, 37.967176, 23.773635, 259.114473, 5.893475, 57.143729300877915, 28.571864650438954
40.00, 27, 37.967168, 23.773569, 259.114473, 5.893475, 41.95360741953735, 20.976803709768674
41.00, 27, 37.967159, 23.773503, 259.114473, 5.893475, 59.198671349265446, 29.59933567463272
42.00, 27, 37.967151, 23.773436, 259.114473, 5.893475, 73.92106072680436, 36.96053036340218
