timestep, id, lat, long, angle, speed, RSSI, throughput
52.00, 2, 37.971030, 23.761297, 119.495421, 5.216981, 63.877582421317804, 31.938791210658902
52.00, 3, 37.971812, 23.759186, 106.824175, 5.617784, 63.37901046349358, 31.68950523174679
53.00, 1, 37.967248, 23.771210, 283.401397, 5.893475, 70.53186124121655, 35.26593062060827
53.00, 2, 37.971005, 23.761348, 119.558942, 5.216981, 73.74913696969523, 36.874568484847615
53.00, 3, 37.971796, 23.759246, 106.824175, 5.617784, 49.578190872516274, 24.789095436258137
54.00, 1, 37.967262, 23.771145, 283.401397, 5.893475, 66.38315134137551, 33.191575670687754
54.00, 2, 37.970980, 23.761398, 120.142714, 5.216981, 24.902513583302543, 12.451256791651272
54.00, 3, 37.971780, 23.759307, 106.824175, 5.617784, 36.018484554972, 18.009242277486
55.00, 1, 37.967276, 23.771080, 283.401397, 5.893475, 41.61181225530096, 20.80590612765048
55.00, 2, 37.970956, 23.761449, 120.142714, 5.216981, 63.46569207836158, 31.73284603918079
55.00, 3, 37.971764, 23.759367, 106.824175, 5.617784, 61.136706442998765, 30.568353221499382
56.00, 1, 37.967290, 23.771016, 283.401397, 5.893475, 54.69081890228495, 27.345409451142476
56.00, 2, 37.970931, 23.761499, 120.142714, 5.216981, 60.42898104677862, 30.21449052338931
56.00, 3, 37.971748, 23.759428, 106.824175, 5.617784, 80.50766660660223, 40.253833303301114
57.00, 1, 37.967304, 23.770951, 283.401397, 5.893475, 78.47262556934851, 39.236312784674254
57.00, 2, 37.970906, 23.761550, 120.142714, 5.216981, 59.71752312306912, 29.858761561534557
57.00, 3, 37.971732, 23.759488, 107.072269, 5.617784, 61.25362336340048, 30.62681168170024
58.00, 1, 37.967318, 23.770886, 283.401397, 5.893475, 45.0645628595151, 22.53228142975755
58.00, 2, 37.970881, 23.761600, 120.142714, 5.216981, 79.39966000319549, 39.699830001597746
58.00, 3, 37.971716, 23.759549, 107.072269, 5.617784, 86.26183785990041, 43.130918929950205
59.00, 1, 37.967331, 23.770822, 283.401397, 5.893475, 24.7414344741224, 12.3707172370612
59.00, 2, 37.970857, 23.761650, 120.142714, 5.216981, 67.39298738553401, 33.69649369276701
59.00, 3, 37.971700, 23.759610, 106.356000, 5.617784, 35.30679928358296, 17.65339964179148
60.00, 1, 37.967345, 23.770757, 283.056605, 5.893475, 38.44126983891346, 19.22063491945673
60.00, 2, 37.970832, 23.761701, 120.142714, 5.216981, 83.30716270320838, 41.65358135160419
60.00, 3, 37.971685, 23.759671, 105.698069, 5.617784, 54.1978060035249, 27.09890300176245
61.00, 1, 37.967358, 23.770692, 283.056605, 5.893475, 58.321570097605374, 29.160785048802683
61.00, 2, 37.970807, 23.761751, 120.142714, 5.216981, 62.568694417008636, 31.28434720850432
61.00, 3, 37.971670, 23.759732, 105.698069, 5.617784, 73.3530526204066, 36.6765263102033
62.00, 1, 37.967372, 23.770627, 283.056605, 5.893475, 35.15818728116291, 17.579093640581455
62.00, 2, 37.970782, 23.761802, 120.142714, 5.216981, 79.26564619073011, 39.632823095365055
62.00, 3, 37.971654, 23.759793, 105.698069, 5.617784, 79.3077803349372, 39.6538901674686
63.00, 1, 37.967385, 23.770562, 283.056605, 5.893475, 95.43447368507711, 47.717236842538554
63.00, 2, 37.970757, 23.761852, 120.142714, 5.216981, 45.56124287517787, 22.780621437588934
63.00, 3, 37.971639, 23.759854, 105.698069, 5.617784, 34.349557865356736, 17.174778932678368
64.00, 1, 37.967399, 23.770497, 283.056605, 5.893475, 40.19584140822835, 20.097920704114173
64.00, 2, 37.970733, 23.761903, 120.142714, 5.216981, 71.25224157041416, 35.62612078520708
64.00, 3, 37.971621, 23.759913, 109.357632, 5.617784, 60.47104191991359, 30.235520959956798
65.00, 1, 37.967409, 23.770432, 279.084101, 5.893475, 87.7176027177149, 43.85880135885745
65.00, 2, 37.970708, 23.761953, 120.142714, 5.216981, 59.115656755338044, 29.557828377669022
