16368 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16371 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16374 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16377 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16380 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16383 -- turns into : 3 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16386 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 3
16389 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16392 -- turns into : 3 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16395 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 2.0
16398 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 0.5
16401 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16404 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16407 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16410 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16413 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16416 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16419 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16422 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16425 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16428 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16431 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16434 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16437 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16440 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16443 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16446 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16449 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16452 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16455 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16458 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16461 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16464 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 2
16467 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16470 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16473 -- turns into : 3 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16476 -- turns into : 6 - strength solo/opposite : 2 , strenght mutual/opposite : 2
16479 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16482 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16485 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16488 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16491 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16494 -- turns into : 6 - strength solo/opposite : 1.0 , strenght mutual/opposite : 1.0
16497 -- turns into : 9 - strength solo : 1 , strenght solo/opposite : 1.0
16500 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
16503 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 2
16506 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16509 -- turns into : 3 - strength solo/opposite : 0.0 , strenght mutual/opposite : 1.0
16512 -- turns into : 6 - strength solo/opposite : 1 , strenght mutual/opposite : 1
16515 -- turns into : 9 - strength solo : 0 , strenght solo/opposite : 0.0
16518 -- turns into : 3 - strength solo/opposite : 0 , strenght mutual/opposite : 1
